akceptuję akceptuji
poucza poučuje
powalę porazím
powalisz porazíš
powali porazí
powiadomię uvědomím
powiadomisz uvědomíš
powiadomi uvědomí
powiążę svážu
powiążesz svážeš
powiąże sváže
powiem řeknu
powiesz řekneš
powie řekne
powierzę svěřím
powierzysz svěříš
powierzy svěří
powieszę pověsím
powiesisz pověsíš
powiesi pověsí
powiększam zvětšuji
powiększasz zvětšuješ
powiększa zvětšuje
powiększę zvětším
powiększysz zvětšíš
powiększy zvětší
powitam uvítám
powitasz uvítáš
powita uvítá
powołam povolám
powołasz povoláš
powoła povolá
powstrzymam zastavím
powstrzymasz zastavíš
powstrzyma zastaví
powstrzymuję zadržuji
powstrzymujesz zadržuješ
powstrzymuje zadržuje
powtarzam opakuji
powtarzasz opakuješ
powtarza opakuje
powtórzę zopakuji
powtórzysz zopakuješ
powtórzy zopakuje
pozabijam pozabíjím
pozabijasz pozabíjíš
pozabija pozabíjí
pozbawiam zbavuji
pozbawiasz zbavuješ
pozbawia zbavuje
pozbawię zbavím
pozbawisz zbavíš
pozbawi zbaví
pozbieram posbírám
pozbierasz posbíráš
pozbiera posbírá
pozdrowię pozdravím
pozdrowisz pozdravíš
pozdrowi pozdraví
poznam poznám
poznasz poznáš
pozna pozná
poznaję poznávám
poznajesz poznáváš
poznaje poznává
pozostawiam zanechávám
pozostawiasz zanecháváš
pozostawia zanechává
pozostawię zanechám
pozostawisz zanecháš
pozostawi zanechá
pozwalam dovoluji
pozwalasz dovoluješ
pozwala dovoluje
pozwolę dovolím
pozwolisz dovolíš
pozwoli dovolí
pozyskam získám
pozyskasz získáš
pozyska získá
pożrę sežeru
pożresz sežereš
pożre sežere
pożywię nasytím
pożywisz nasytíš
pożywi nasytí
pierę peru
pierzesz pereš
pierze pere
pawię pravím
pawisz pravíš
pawi praví
produkuję vyrábím
produkujesz vyrábíš
produkuje vyrábí
proszę prosím
prosisz prosíš
prosi prosí
prowadzę vedu
prowadzisz vedeš
prowadzi vede
prowokuję provokuji
prowokujesz provokuješ
prowokuje provokuje
próbuję zkouším
próbujesz zkoušíš
próbuje zkouší
przebiję prorazím
przebijesz prorazíš
przebije prorazí
przebiegam probíhám
przebiegasz probíháš
przebiega probíhá
przebijam prorážím
przebijasz prorážíš
przebija proráží
przebywam překonám
przebywasz překonáš
przebywa překoná
przebywam pobývám
przebywasz pobýváš
przebywa pobývá
przechodzę procházím
przechodzisz procházíš
przechodzi prochází
przechowam uschovám
przechowasz uschováš
przechowa uschová
przechowuję uchovávám
przechowujesz uchováváš
przechowuje uchovává
przechwycę zachytím
przechwycisz zachytíš
przechwyci zachytí
przechytrzę přelstím
przechytrzysz přelstíš
przechytrzy přelstí
przetnę přeříznu
przetniesz přeřízneš
przetnie přeřízne
przeciągam protahuji
przeciągasz protahuješ
przeciąga protahuje
przeczekam přečkám
przeczekasz přečkáš
przeczeka přečká
przeczytam přečtu
przeczytasz přečteš
przeczyta přečte
przedłużam prodlužuji
przedłużasz prodlužuješ
przedłuża prodlužuje
przedłużę prodloužím
przedłużysz prodloužíš
przedłuży prodlouží
przedsięwezmę podniknu
przedsięweźmiesz podnikneš
przedsięweźmie podnikne
przedstawiam představuji
przedstawiasz představuješ
przedstawia představuje
przedstawię představím
przedstawisz představíš
przedstawi představí
przegram prohraji
przegrasz prohraješ
przegra prohraje
przegrywam prohrávám
przegrywasz prohráváš
przegrywa prohrává
przegryzę překousnu
przegryziesz překousneš
przegryzie překousne
przejmę převezmu
przejmiesz převezmeš
przejmie převezme
przejadę přejedu
przejedziesz přejedeš
przejedzie přejede
przejeżdżam přejíždím
przejeżdżasz přejíždíš
przejeżdża přejíždí
przejmuję přebírám
przejmujesz přebíráš
przejmuje přebírá
przejrzę prokouknu
przejrzysz prokoukneš
przejrzy prokoukne
przekażę předám
przekażesz předáš
przekaże předá
przekazuję předávám
przekazujesz předáváš
przekazuje předává
przeklinam proklínám
przeklinasz proklínáš
przeklina proklíná
przekonam přesvědčím
przekonasz přesvědčíš
przekona přesvědčí
przekonuję přesvědčuji
przekonujesz přesvědčuješ
przekonuje přesvědčuje
przekraczam překračuji
przekraczasz překračuješ
przekracza překračuje
przekręcę překroutím
przekręcisz překroutíš
przekręci překroutí
przekroczę překročím
przekroczysz překročíš
przekroczy překročí
przekrzyczę překřičím
przekrzyczysz překřičíš
przekrzyczy překřičí
przekształcę přeměním
przekształcisz přeměníš
przekształci přemění
przekupię podplatím
przekupisz podplatíš
przekupi podplatí
przeleję přeliji
przelejesz přeliješ
przeleje přelije
przelecę proletím
przelecisz proletíš
przeleci proletí
przelewam přelévám
przelewasz přeléváš
przelewa přelévá
przełamię překonám
przełamiesz překonáš
przełamie překoná
przełożę přeložím
przełożysz přeložíš
przełoży přeloží
przemienię proměním
przemienisz proměníš
przemieni promění
przemierzam přecházím
przemierzasz přecházíš
przemierza přechází
przemieszczam přemisťuji
przemieszczasz přemisťuješ
przemieszcza přemisťuje
przemówię promluvím
przemówisz promluvíš
przemówi promluví
przemycę propašuji
przemycisz propašuješ
przemyci propašuje
przeniosę přenesu
przeniesiesz přeneseš
przeniesie přenese
przenikam pronikám
przenikasz pronikáš
przenika proniká
przenocuję přenocuji
przenocujesz přenocuješ
przenocuje přenocuje
przenoszę přenáším
przenosisz přenášíš
przenosi přenáší
przepadnę propadnu
przepadniesz propadneš
przepadnie propadne
przepędzę vyženu
przepędzisz vyženeš
przepędzi vyžene
przepiszę přepíšu
przepiszesz přepíšeš
przepisze přepíše
przeprawię převezu
przeprawisz převezeš
przeprawi převeze
przeprowadzam provádím
przeprowadzasz provádíš
przeprowadza provádí
przeprowadzę provedu
przeprowadzisz provedeš
przeprowadzi provede
przepuszczę propustím
przepuścisz propustíš
przepuści propustí
przepycham protlačuji
przepychasz protlačuješ
przepycha protlačuje
przerazię vyděsím
przerazisz vyděsíš
przerazi vyděsí
przerobię předělám
przerobisz předěláš
przerobi předělá
przerwę přeruším
przerwiesz přerušíš
przerwie přeruší
przerywam přerušuji
przerywasz přerušuješ
przerywa přerušuje
przerzucam přehazuji
przerzucasz přehazuješ
przerzuca přehazuje
przerzucę přehodím
przerzucisz přehodíš
przerzuci přehodí
przeskoczę přeskočím
przeskoczysz přeskočíš
przeskoczy přeskočí
prześlę pošlu
prześlesz pošleš
prześle pošle
przesłucham vyslechnu
przesłuchasz vyslechneš
przesłucha vyslechne
przesłuchuję vyslýchám
przesłuchujesz vyslýcháš
przesłuchuje vyslýchá
prześpię prospím
prześpisz prospíš
prześpi prospí
przestanę přestanu
przestaniesz přestaneš
przestanie přestane
przestawię přesunu
przestawisz přesuneš
przestawi přesune
przestraszę vystraším
przestraszysz vystrašíš
przestraszy vystraší
przestrzegam dodržuji
przestrzegasz dodržuješ
przestrzega dodržuje
przesuwam posunuji
przesuwasz posunuješ
przesuwa posunuje
przesyłam posílám
przesyłasz posíláš
przesyła posílá
przeszukam prohledám
przeszukasz prohledáš
przeszuka prohledá
przeszukuję prohledávám
przeszukujesz prohledáváš
przeszukuje prohledává
prześladuję pronásleduji
prześladujesz pronásleduješ
prześladuje pronásleduje
przetłumaczę přeložím
przetłumaczysz přeložíš
przetłumaczy přeloží
przetransportuję transportuji
przetransportujesz transportuješ
przetransportuje transportuje
przetrwam přežiji
przetrwasz přežiješ
przetrwa přežije
przetrzymam přetrpím
przetrzymasz přetrpíš
przetrzyma přetrpí
przewiozę převezu
przewieziesz převezeš
przewiezie převeze
przewracam převracím
przewracasz převracíš
przewraca převrací
przewrócę převrátím
przewrócisz převrátíš
przewróci převrátí
przeznaczam určuji
przeznaczasz určuješ
przeznacza určuje
przeżywam prožívám
przeżywasz prožíváš
przeżywa prožívá
przybiję přibiji
przybijesz přibiješ
przybiję přibije
przybiera přibírám
przybierasz přibíráš
przybiera přibírá
przybliżę přiblížím
przybliżysz přiblížíš
przybliży přiblíží
przyjmę přiberu
przyjmiesz přibereš
przyjmie přibere
przyciągam přitahuji
przyciągasz přitahuješ
przyciąga přitahuje
przyczepię připevním
przyczepisz připevníš
przyczepi připevní
przedam přidám
przedasz přidáš
przeda přidá
przygotuję připravím
przygotujesz připravíš
przygotuje připraví
przygotowuję připravuji
przygotowujesz připravuješ
przygotowuje připravuje
przyjmę přijmu
przyjmiesz přijmeš
przyjmie přijme
przyjmuję přijímám
przyjmujesz přijímáš
przyjmuje přijímá
przykładam přikládám
przykladasz přikládáš
przykłada přikládá
przykryję přikryji
przykryjesz přikryješ
przykryje přikryje
przyłapię přistihnu
przyłapiesz přistihneš
przyłapie přistihne
przyłączę připojím
przyłączysz připojíš
przyłączy připojí
przyłożę přiložím
przyłożysz přiložíš
przyłoży přiloží
przyniosę přinesu
przyniesiesz přineseš
przyniesie přinese
przynoszę přináším
przynosisz přinášíš
przynosi přináší
przypiszę připíšu
przypiszesz připíšeš
przypisze připíše
przypisuję připisuji
przypisujesz připisuješ
przypisuje připisuje
przyprawię okořením
przyprawisz okořeníš
przyprawi okoření
przyprowadzę přivedu
przyprowadzisz přivedeš
przyprowadzi přivede
przypuszczam předpokládám
przypuszczasz předpokládáš
przypuszcza předpokládá
przypuszczę připustím
przypuścisz připustíš
przypuści připustí
przyrządzę připravím
przyrządzisz připravíš
przyrządzi připraví
przyślę pošlu
przyślesz pošleš
przyśle pošle
przyspieszę zrychlím
przyspieszysz zrychlíš
przyspieszy zrychlí
przyśpieszę zrychlím
przyśpieszysz zrychlíš
przyśpieszy zrychlí
przytoczę uvedu
przytoczysz uvedeš
przytoczy uvede
przytrzymam přidržím
przytrzymasz přidržíš
przytrzyma přidrží
przywiążę přivážu
przywiążesz přivážeš
przywiąże přiváže
przywiązuję přivazuji
przywiązujesz přivazuješ
przywiązuje přivazuje
przywiodę přivedu
przywiedziesz přivedeš
przywiedzie přivede
przywiozę přivezu
przywieziesz přivezeš
przywiezie přiveze
przywitam přivítám
przywitasz přivítáš
przywita přivítá
przywołam přivolám
przywołasz přivoláš
przywoła přivolá
przywołuję přivolávám
przywołujesz přivoláváš
przywołuje přivolává
przywrócę obnovím
przywrócisz obnovíš
przywróci obnoví
przyznam přiznám
przyznasz přiznáš
przyzna přizná
przyznaję přiznávám
przyznajesz přiznáváš
przyznaje přiznává
psuję kazím
psujesz kazíš
psuje kazí
puszczam pouštím
puszczasz pouštíš
puszcza pouští
puszczę pustím
puścisz pustíš
puści pustí
rachuję počítám
rachujesz počítáš
rachuje počítá
ranię raním
ranisz raníš
rani raní
ratuję zachraňuji
ratujesz zachraňuješ
ratuje zachraňuje
rażę zraním
rażysz zraníš
raża zraní
rąbię sekám
rąbiesz sekáš
rąbie seká
realizuję realizuji
realizujesz realizuješ
realizuje realizuje
recytuję recituji
recytujesz recituješ
recytuje recituje
reprezentuję reprezentuji
reprezentujesz reprezentuješ
reprezentuje reprezentuje
robię dělám
robisz děláš
robi dělá
rodzę rodím
rodzisz rodíš
rodzi rodí
rozbiję rozbiji
rozbijesz rozbiješ
rozbije rozbije
rozbieram rozebírám
rozbierasz rozebíráš
rozbiera rozebírá
rozbijam rozbíjím
rozbijasz rozbíjíš
rozbija rozbíjí
rozbroję odzbrojím
rozbroisz odzbrojíš
rozbroi odzbrojí
rozbudzę probudím
rozbudzisz probudíš
rozbudzi probudí
rozdaję rozdávám
rozdajesz rozdáváš
rozdaje rozdává
rozdzielam rozděluji
rozdzielasz rozděluješ
rozdziela rozděluje
rozdzielę rozdělím
rozdzielisz rozdělíš
rozdzieli rozdělí
rozbiorę rozeberu
rozbierzesz rozebereš
rozbierze rozebere
rozegram rozehraji
rozegrasz rozehraješ
rozegra rozehraje
rozerwę roztrhnu
rozerwiesz roztrhneš
rozerwie roztrhne
rozgniewam rozzlobím
rozgniewasz rozzlobíš
rozgniewa rozzlobí
rozgryzę rozkousnu
rozgryziesz rozkousneš
rozgryzie rozkousne
rozgrzeję rozehřeji
rozgrzejesz rozehřeješ
rozgrzeje rozehřeje
rozjaśnię rozjasním
rozjaśnisz rozjasníš
rozjaśni rozjasní
rozkładam rozkládám
rozkładasz rozkládáš
rozkłada rozkládá
rozluźnię uvolním
rozluźnisz uvolníš
rozluźni uvolní
rozładuję vyložím
rozładujesz vyložíš
rozładuje vyloží
rozłączę rozpojím
rozłączysz rozpojíš
rozłączy rozpojí
rozłożę rozložím
rozłożysz rozložíš
rozłoży rozloží
rozmnażam rozmnožuji
rozmnażasz rozmnožuješ
rozmnaża rozmnožuje
rozpalam rozpaluji
rozpalasz rozpaluješ
rozpala rozpaluje
rozpalę rozpálím
rozpalisz rozpálíš
rozpali rozpálí
rozpatruję posuzuji
rozpatrujesz posuzuješ
rozpatruje posuzuje
rozpędzę rozjedu
rozpędzisz rozjedeš
rozpędzi rozjede
rozpinam rozepínám
rozpinasz rozepínáš
rozpina rozepíná
rozpocznę začnu
rozpoczniesz začneš
rozpocznie začne
rozpoczynam začínám
rozpoczynasz začínáš
rozpoczyna začíná
rozpraszam rozptyluji
rozpraszasz rozptyluješ
rozprasza rozptyluje
rozprostuję narovnám
rozprostujesz narovnáš
rozprostuje narovná
rozproszę rozptýlím
rozproszysz rozptýlíš
rozproszy rozptýlí
rozróżniam rozlišuji
rozróżniasz rozlišuješ
rozróżnia rozlišuje
rozróżnię rozliším
rozróżnisz rozlišíš
rozróżni rozliší
rozruszam rozhýbu
rozruszasz rozhýbeš
rozrusza rozhýbe
rozstrzelam rozstřílím
rozstrzelasz rozstřílíš
rozstrzela rozstřílí
rozszarpię roztrhám
rozszarpiesz roztrháš
rozszarpie roztrhá
rozszerzam rozšiřuji
rozszerzasz rozšiřuješ
rozszerza rozšiřuje
rozszerzę rozšířím
rozszerzysz rozšíříš
rozszerzy rozšíří
roztrzaskam roztříštím
roztrzaskasz roztříštíš
roztrzaska roztříští
rozumiem rozumím
rozumiesz rozumíš
rozumie rozumí
rozwalię rozvalím
rozwaliś rozvalíš
rozwali rozvalí
rozważam zvažuji
rozważasz zvažuješ
rozważa zvažuje
rozważę zvážím
rozważysz zvážíš
rozważy zváží
rozwieję rozptýlím
rozwieję rozptýlíš
rozwieję rozptýlí
rozwiążę vyřeším
rozwiążesz vyřešíš
rozwiąże vyřeší
rozwiązuję řeším
rozwiązujesz řešíš
rozwiązuje řeší
rozwijam rozvíjím
rozwijasz rozvíjíš
rozwija rozvíjí
rozwodzę rozvádím
rozwodzisz rozvádíš
rozwodzi rozvádí
równam rovnám
równasz rovnáš
równa rovná
ruszam hýbu
ruszasz hýbeš
rusza hýbe
ruszę pohnu
ruszysz pohneš
ruszy pohne
rwę trhám
rwiesz trháš
rwie trhá
rysuję kreslím
rysujesz kreslíš
rysuje kreslí
rzucam házím
rzucasz házíš
rzuca hází
rzucę hodím
rzucisz hodíš
rzuci hodí
sączę cedím
sączysz cedíš
sączy cedí
sądzę soudím
sądzisz soudíš
sądzi soudí
schodzę scházím
schodzisz scházíš
schodzi schází
schowam schovám
schowasz schováš
schowa schová
schwycę chytím
schwycisz chytíš
schwyci chytí
schwytam chytám
schwytasz chytáš
schwyta chytá
sformułuję formuluji
sformułujesz formuluješ
sformułuje formuluje
sforsuję zlomím
sforsujesz zlomíš
sforsuje zlomí
sfotografuję vyfotografuji
sfotografujesz vyfotografuješ
sfotografuje vyfotografuje
sieje seji
siejesz seješ
sieje seje
skaczę skáču
skaczesz skáčeš
skacze skáče
skazuję odsoudím
skazujesz odsoudíš
skazuje odsoudí
skieruję nasměruji
skierujesz nasměruješ
skieruje nasměruje
składam skládám
składasz skládáš
składa skládá
skłonię skloním
skłonisz skloníš
skłoni skloní
skoczę skočím
skoczysz skočíš
skoczy skočí
skojarzę spojím
skojarzysz spojíš
skojarzy spojí
skompromituję zdiskredituji
skompromitujesz zdiskredituješ
skompromituje zdiskredituje
skonstruuję zkonstruuji
skonstruujesz zkonstruuješ
skonstruuje zkonstruuje
skontaktuję kontaktuji
skontaktujesz kontaktuješ
skontaktuje kontaktuje
skończę skončím
skończysz skončíš
skończy skončí
skręcam zatáčím
skręcasz zatáčíš
skręca zatáčí
skręcę zahnę
skręcisz zahneš
skręci zahne
skrócę zkrátím
skrócisz zkrátíš
skróci zkrátí
skryję skryji
skryjesz skryješ
skryje skryje
skrzywdzę ublížím
skrzywdzisz ublížíš
skrzywdzi ublíží
skupiam soustřeďuji
skupiasz soustřeďuješ
skupia soustřeďuje
skupię soustředím
skupisz soustředíš
skupi soustředí
skuszę zlákám
skusisz zlákáš
skusi zláká
ślę posílám
ślesz posíláš
śluje posílá
smakuję chutnám
smakujesz chutnáš
smakuje chutná
snuję snuji
snujesz snuješ
snuje snuje
spakuję zabalím
spakujesz zabalíš
spakuje zabalí
spalę spálím
spalisz spálíš
spali spálí
spadnę spadnu
spadniesz spadneš
spadnie spadne
spełniam plním
spełniasz plníš
spełnia plní
spełnię splním
spełnisz splníš
spełni splní
spędzam trávím
spędzasz trávíš
spędza tráví
spędzę strávím
spędzisz strávíš
spędzi stráví
spieszę spěchám
spieszysz spěcháš
spieszy spěchá
spiszę sepíšu
spiszesz sepíšeš
spisze sepíše
spłacę splatím
spłacisz splatíš
spłaci splatí
spłoszę vyplaším
spłoszysz vyplašíš
spłoszy vyplaší
sporządzę sestavím
sporządzisz sestavíš
sporządzi sestaví
spotkam potkám
spotkasz potkáš
spotka potká
spotykam potkávám
spotykasz potkáváš
spotyka potkává
sprawdzam kontroluji
sprawdzasz kontroluješ
sprawdza kontroluje
sprawdzę zkontroluji
sprawdzisz zkontroluješ
sprawdzi zkontroluje
sprawiam způsobuji
sprawiasz způsobuješ
sprawia způsobuje
sprawię způsobím
sprawisz způsobíš
sprawi způsobí
sprawuję vykonávám
sprawujesz vykonáváš
sprawuje vykonává
sprowadzam přivádím
sprowadzasz přivádíš
sprowadza přivádí
sprowadzę přivedu
sprowadzisz přivedeš
sprowadzi přivede
sprowokuję provokuji
sprowokujesz provokuješ
sprowokuje provokuje
sprzątam uklízím
sprzątasz uklízíš
sprząta uklízí
sprzedam prodám
sprzedasz prodáš
sprzeda prodá
sprzedaję prodávám
sprzedajesz prodáváš
sprzedaje prodává
spuszczam spouštím
spuszczasz spouštíš
spuszcza spouští
spuszczę spustím
spuścisz spustíš
spuści spustí
ssę saju
ssiesz saješ
ssie saje
stanowię tvořím
stanowisz tvoříš
stanowi tvoří
stawiam stavím
stawiasz stavíš
stawia staví
stawię postavím
stawisz postavíš
stawi postaví
steruję řídím
sterujesz řídíš
steruje řídí
stłumię potlačím
stłumisz potlačíš
stłumi potlačí
stoczę strhnu
stoczysz strhneš
stoczy strhne
stosuję používám
stosujesz používáš
stosuje používá
stracę ztratím
stracisz ztratíš
straci ztratí
straszę straším
straszysz strašíš
straszy straší
strawię strávím
strawisz strávíš
strawi stráví
strącę srazím
strącisz srazíš
strąci srazí
stroję strojím
stroisz strojíš
stroi strojí
strzelam střílím
strzelasz střílíš
strzela střílí
strzelę střelím
strzelisz střelíš
strzeli střelí
studiuję studuji
studiujesz studuješ
studiuje studuje
stukaję klepám
stukasz klepeš
stuka klepe
stwarzam vytvářím
stwarzasz vytváříš
stwarza vytváří
stworzę vytvořím
stworzysz vytvoříš
stworzy vytvoří
sunę sunu
suniesz suneš
sunie sune
sypię sypu
sypiesz sypeš
sypie sype
szanuję respektuji
szanujesz respektuješ
szanuje respektuje
szarpię škubu
szarpiesz škubeš
szarpie škube
szeptam šeptám
szeptasz šeptáš
szeptam šeptá
szerzę šířím
szerzysz šíříš
szerzy šíří
szpieguję špehuji
szpiegujesz špehuješ
szpieguje špehuje
szyję šiji
szyjesz šiješ
szyje šije
szykuję chystám
szykujesz chystáš
szykuje chystá
ścinam srazím
ścinasz srazíš
ścina srazí
ściągam stahuji
ściągasz stahuješ
ściąga stahuje
ścigam stíhám
ścigasz stíháš
ściga stíhá
ściskam stisknu
ściskasz stiskneš
ściska stiskne
śledzę sleduji
śledzisz sleduješ
śledzi sleduje
śpiewam zpívám
śpiewasz zpíváš
śpiewa zpívá
świadczę svědčím
świadczysz svědčíš
świadczy svědčí
tańczę tancuji
tańczysz tancuješ
tańczy tancuje
tchnę vdechnu
tchniesz vdechneš
tchnie vdechne
tłukę tlouci
tłuczesz tlučeš
tłucze tluče
tłumaczę překládám
tłumaczysz překládáš
tłumaczy překládá
tłumię tlumím
tłumisz tlumíš
tłumi tlumí
toczę točím
toczysz točíš
toczy točí
toleruję toleruji
tolerujesz toleruješ
toleruje toleruje
topię topím
topisz topíš
topi topí
torturuję mučím
torturujesz mučíš
torturuje mučí
tracę ztrácím
tracisz ztrácíš
traci ztrácí
trafię trefím
trafisz trefíš
trafi trefí
traktuję jednám
traktujesz jednáš
traktuje jedná
tropię stopuji
tropisz stopuješ
tropi stopuje
trudzę obtěžuji
trudzisz obtěžuješ
trudzi obtěžuje
trzęsę třesu
trzęsiesz třeseš
trzęsie třese
trę třu
trzesz třeš
trze tře
trzymam držím
trzymasz držíš
trzyma drží
tworzę tvořím
tworzysz tvoříš
tworzy tvoří
ubiję utloukl
ubijesz utloukl
ubije utloukl
ubiegam usiluji
ubiegasz usiluješ
ubiega usiluje
ubieram oblékám
ubierasz oblékáš
ubiera obléká
ubiorę obléknu
ubierzesz oblékneš
ubierze oblékne
ucałuję políbím
ucałujesz políbíš
ucałuje políbí
uchronię ochráním
uchronisz ocháníš
uchroni ochrání
uchwycę zachytím
uchwycisz zachytíš
uchwyci zachytí
ucznę useknu
uczniesz usekneš
ucznie usekne
ucieszę potěším
ucieszysz potěšíš
ucieszy potěší
uciszę utiším
uciszysz utišíš
uciszy utiší
uczę učím
uczysz učíš
uczy učí
uczynię učiním
uczynisz učiníš
uczyni učiní
udaję předstírám
udajesz předstíráš
udaje předstírá
uderzam narážím
uderzasz narážíš
uderza naráží
uderzę udeřím
uderzysz udeříš
uderzy udeří
uduszę udusím
udusisz udusíš
udusi udusí
udzielam uděluji
udzielasz uděluješ
udziela uděluje
udzielę udělím
udzielisz udělíš
udzieli udělí
ugaszę uhasím
ugasisz uhasíš
ugasi uhasí
ugnę ohnu
ugniesz ohneš
ugnie ohne
ugotuję uvařím
ugotujesz uvaříš
ugotuje uvaří
ugryzę ukousnu
ugryziesz ukousneš
ugryzie ukousne
ujmę zaujmu
ujmiesz zaujmeš
ujmie zaujme
ujrzę spatřím
ujrzysz spatříš
ujrzy spatří
ukaram potrestám
ukarasz potrestáš
ukara potrestá
ukażę ukážu
ukażesz ukážeš
ukaże ukáže
ukazuję ukazuji
ukazujesz ukazuješ
ukazuje ukazuje
układam skládám
układasz skládáš
układa skládá
ukoję uklidním
ukoisz uklidníš
ukoi uklidní
ukończę dokončím
ukończysz dokončíš
ukończy dokončí
ukradnę ukradnu
ukradniesz ukradneš
ukradnie ukradne
ukryję skryji
ukryjesz skryješ
ukryje skryje
ukrywam skrývám
ukrywasz skrýváš
ukrywa skrývá
uleczę vyléčím
uleczysz vyléčíš
uleczy vyléčí
ulokuję umístím
ulokujesz umístíš
ulokuje umístí
ułatwię usnadním
ułatwisz usnadníš
ułatwi usnadní
ułożę uložím
ułożysz uložíš
ułoży uloží
umieszczę umístím
umieścisz umístíš
umieści umístí
umocnię upevním
umocnisz upevníš
umocni upevní
umożliwię umožním
umożliwisz umožníš
umożliwi umožní
umyję umyji
umyjesz umyješ
umyje umyje
unicestwię zničím
unicestwisz zničíš
unicestwi zničí
uniemożliwię znemožním
uniemożliwisz znemožníš
uniemożliwi znemožní
unieruchomię znehybním
unieruchomisz znehybníš
unieruchomi znehybní
unieszkodliwię zneškodním
unieszkodliwisz zneškodníš
unieszkodliwi zneškodní
uniosę unesu
uniesiesz uneseš
uniesie unese
unoszę unáším
unosisz unášíš
unosi unáší
upadnę upadnu
upadniesz upadneš
upadnie upadne
upewnię ujistím
upewnisz ujistíš
upewni ujistí
upiję opiji
upijesz opiješ
upije opije
upodobnię připodobním
upodobnisz připodobníš
upodobni připodobní
upokorzę ponížím
upokorzysz ponížíš
upokorzy poníží
upoluję ulovím
upolujesz ulovíš
upoluje uloví
upomnę napomenu
upomnisz napomeneš
upomni napomene
uporządkuję uspořádám
uporządkujesz uspořádáš
uporządkowuje uspořádá
uprawiam pěstuji
uprawiasz pěstuješ
uprawia pěstuje
uprzedzę předejdu
uprzedzisz předejdeš
uprzedzi předejde
uratuję zachráním
uratujesz zachráníš
uratuje zachrání
urażę urazím
urazisz urazíš
urazi urazí
urodzę porodím
urodzisz porodíš
urodzi porodí
uronię uroním
uronisz uroníš
uroni uroní
uruchomię spustím
uruchomisz spustíš
uruchomi spustí
urwę utrhnu
urwiesz utrhneš
urwie utrhne
urządzam uspořádám
urządzasz uspořádáš
urządza uspořádá
urządzę uspořádám
urządzisz uspořádáš
urządzi uspořádá
uspokajam uklidňuji
uspokajasz uklidňuješ
uspokaja uklidňuje
uspokoję uklidním
uspokoisz uklidníš
uspokoi uklidní
usprawiedliwiam ospravedlňuji
usprawiedliwiasz ospravedlňuješ
usprawiedliwia ospravedlňuje
usprawiedliwię ospravedlním
usprawiedliwisz ospravedlníš
usprawiedliwi ospravedlní
ustanę ustanu
ustaniesz ustaneš
ustanie ustane
ustawiam nastavuji
ustawiasz nastavuješ
ustawia nastavuje
ustawię nastavím
ustawisz nastavíš
ustawi nastaví
usuwam odstraňuji
usuwasz odstraňuješ
usuwa odstraňuje
uszanuję uctím
uszanujesz uctíš
uszanuje uctí
uszczęśliwię uspokojím
uszczęśliwisz uspokojíš
uszczęśliwi uspokojí
uszkodzę poškodím
uszkodzisz poškodíš
uszkodzi poškodí
uszyję ušiji
uszyjesz ušiješ
uszyje ušije
uściskam stisknu
uściskasz stiskneš
uściska stiskne
uśmiercę usmrtím
uśmiercisz usmrtíš
uśmierci usmrtí
uśmierzę utiším
uśmierzysz utišíš
uśmierzy utiší
uśpię uspím
uśpisz uspíš
uśpi uspí
uświadamiam uvědomuji
uświadamiasz uvědomuješ
uświadamia uvědomuje
uświadomię uvědomím
uświadomisz uvědomíš
uświadomi uvědomí
utopię utopím
utopisz utopíš
utopi utopí
utracę ztratím
utracisz ztratíš
utraci ztratí
utrudnię ztížím
utrudnisz ztížíš
utrudni ztíží
utrwalę upevním
utrwalisz upevníš
utrwali upevní
utrzymam udržím
utrzymasz udržíš
utrzyma udrží
utrzymuję udržuji
utrzymujesz udržuješ
utrzymuje udržuje
utworzę vytvořím
utworzysz vytvoříš
utworzy vytvoří
uwiodę svedu
uwiedziesz svedeš
uwiedzie svede
uwiężę uvězním
uwięzisz uvězníš
uwięzi uvězní
uwolnię uvolním
uwolnisz uvolníš
uwolni uvolní
uzbroję ozbrojím
uzbroisz ozbrojíš
uzbroi ozbrojí
uzdrowię uzdravím
uzdrowisz uzdravíš
uzdrowi uzdraví
uzupełnię doplním
uzupełnisz doplníš
uzupełni doplní
uzyskam získám
uzyskasz získáš
uzyska získá
użyję použiji
użyjesz použiješ
użyje použije
używam používám
używasz používáš
używa používá
walę buším
walisz bušíš
wali buší
ważę vážím
ważysz vážíš
waży váží
wbiju vrazím
wbijesz vrazíš
wbije vrazí
wbijam vrážím
wbijasz vrážíš
wbija vráží
wciągam vtahuji
wciągasz vtahuješ
wciąga vtahuje
wcielę vtělím
wcielisz vtělíš
wcieli vtělí
wciskam vtlačuji
wciskasz vtlačuješ
wciska vtlačuje
wesprę podpořím
wesprzesz podpoříš
wesprze podpoří
wezwę vyzvu
wezwiesz vyzveš
wezwie vyzve
węszę čichám
węszysz čicháš
węszy čichá
wieję váním
wiejesz vani
wieje vane
wiążę vážu
wiążesz vážeš
wiąże váže
wiję viji
wijesz viješ
wije vije
widywam vídám
widywasz vídáš
widywa vídá
widzę vidím
widzisz vidíš
widzi vidí
wiercę vrtám
wiercisz vrtáš
wierci vrtá
wieszam věším
wieszasz věšíš
wiesza věší
wiodę vedu
wiedziesz vedeš
wiedzie vede
wiozę vezu
